Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0,OWS,DWS,WS,WS/48,0,OBPM,DBPM,BPM,VORP
1,Tariq Abdul-Wahad,SG,25,TOT,61,1578,13.6,.477,.036,.299,7.0,13.1,10.0,10.0,1.8,1.2,12.7,22.5,0,0.4,1.8,2.2,.068,0,-1.6,0.1,-1.5,0.2
2,Shareef Abdur-Rahim,SF,23,VAN,82,3223,20.2,.547,.075,.431,8.0,22.7,15.3,15.5,1.5,1.9,14.1,25.0,0,6.2,2.6,8.8,.132,0,1.8,0.5,2.3,3.5
3,Cory Alexander,PG,26,DEN,29,329,8.8,.381,.357,.224,2.6,11.3,6.9,25.7,3.7,0.4,20.6,18.0,0,-0.5,0.4,-0.1,-0.012,0,-3.6,0.1,-3.5,-0.1
4,Ray Allen,SG,24,MIL,82,3070,20.6,.570,.288,.282,3.2,10.5,6.8,17.0,1.9,0.5,10.3,25.6,0,9.0,1.0,10.1,.157,0,5.0,-2.0,3.0,3.9
5,Rafer Alston,PG,23,MIL,27,361,4.3,.310,.147,.042,1.6,5.8,3.7,26.8,1.7,0.0,23.1,15.5,0,-0.7,0.0,-0.7,-0.095,0,-6.0,-3.4,-9.5,-0.7
6,John Amaechi,C,29,ORL,80,1684,13.2,.505,.009,.416,4.0,13.2,8.6,9.1,1.0,1.5,14.4,24.1,0,0.6,1.8,2.4,.067,0,-2.7,-0.9,-3.6,-0.7
7,Derek Anderson,SG,25,LAC,64,2201,16.9,.542,.207,.359,3.9,9.3,6.5,17.9,2.1,0.3,14.4,23.4,0,3.1,0.3,3.3,.073,0,1.7,-1.9,-0.2,1.0
8,Kenny Anderson,PG,29,BOS,82,2593,17.4,.524,.223,.257,2.3,7.9,4.9,26.7,2.7,0.2,10.6,20.5,0,5.4,1.9,7.3,.136,0,2.6,-1.4,1.2,2.1
9,Nick Anderson,SG,32,SAC,72,2094,11.8,.479,.508,.097,4.1,12.8,8.4,8.6,2.2,0.5,10.4,18.1,0,0.3,2.5,2.8,.064,0,-0.1,0.4,0.3,1.2
10,Shandon Anderson,SF,26,HOU,82,2700,13.8,.567,.289,.325,3.9,11.9,8.0,14.3,1.8,0.8,17.9,17.6,0,3.0,1.9,4.9,.087,0,0.7,0.2,0.9,2.0
11,Chris Anstey,C,25,CHI,73,1007,15.1,.512,.016,.404,10.3,22.5,16.3,13.2,1.5,1.8,15.7,23.1,0,0.6,1.3,1.9,.090,0,-2.4,-0.2,-2.5,-0.1
12,Greg Anthony,PG,32,POR,82,1548,13.0,.551,.560,.274,1.4,8.4,5.1,20.5,2.0,0.4,15.4,16.4,0,2.3,1.8,4.1,.128,0,1.3,-0.9,0.4,0.9
13,B.J. Armstrong,PG,32,CHI,27,583,10.7,.510,.156,.134,0.4,9.2,4.7,26.5,0.6,0.1,16.9,18.6,0,0.2,0.2,0.4,.030,0,-2.8,-3.6,-6.4,-0.6
14,Darrell Armstrong,PG,31,ORL,82,2590,19.5,.542,.360,.221,2.7,8.6,5.7,31.4,3.2,0.2,16.8,23.9,0,4.6,3.4,8.0,.149,0,4.3,0.0,4.4,4.2
15,Chucky Atkins,PG,25,ORL,82,1626,14.4,.489,.220,.179,1.3,7.1,4.2,30.9,1.6,0.1,15.1,24.3,0,1.1,1.3,2.4,.072,0,0.4,-2.6,-2.3,-0.1
16,Stacey Augmon,SG,31,POR,59,692,12.2,.510,.011,.314,7.5,12.0,9.9,11.9,2.1,1.2,16.0,15.8,0,0.5,1.0,1.5,.102,0,-1.6,1.1,-0.5,0.3
17,Isaac Austin,C,30,WAS,59,1173,10.2,.481,.011,.389,6.2,21.7,13.8,10.0,0.8,2.3,20.6,19.6,0,-0.9,0.9,0.0,.001,0,-4.4,0.4,-4.0,-0.6
18,Anthony Avent,PF,30,LAC,49,377,5.5,.368,.000,.333,6.6,15.6,10.9,4.5,2.2,2.7,17.9,15.8,0,-0.7,0.2,-0.5,-0.065,0,-7.5,-0.2,-7.7,-0.5
19,William Avery,PG,20,MIN,59,484,6.7,.391,.348,.199,1.9,7.8,4.8,26.2,1.5,0.3,17.6,22.3,0,-0.8,0.3,-0.5,-0.046,0,-4.2,-3.4,-7.5,-0.7
20,Toby Bailey,SG,24,PHO,46,449,10.8,.483,.071,.464,6.6,11.2,8.9,10.3,1.5,0.6,12.5,18.9,0,0.2,0.6,0.8,.088,0,-3.1,-0.6,-3.7,-0.2
21,Vin Baker,C,28,SEA,79,2849,14.0,.500,.007,.365,8.6,14.7,11.6,8.6,0.8,1.6,14.0,23.6,0,1.2,2.2,3.5,.059,0,-2.1,-0.7,-2.8,-0.6
22,Charles Barkley*,PF,36,HOU,20,620,19.8,.534,.117,.495,13.1,24.4,18.9,17.3,1.2,0.4,14.0,22.3,0,1.3,0.6,1.9,.148,0,2.1,0.3,2.4,0.7
23,Dana Barros,PG,32,BOS,72,1139,15.1,.552,.331,.175,1.2,9.1,5.0,19.4,1.4,0.3,12.3,20.4,0,2.0,0.5,2.4,.103,0,0.9,-3.1,-2.3,-0.1
24,Brent Barry,SG,28,SEA,80,2726,14.6,.609,.564,.222,2.0,13.1,7.5,16.0,1.9,0.8,15.5,14.9,0,4.9,2.5,7.5,.131,0,2.0,0.4,2.4,3.0
