
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Mahmoud Abdul-Rauf,PG,27,SAC,75,2131,13.2,.524,.266,.147,0.9,5.9,3.3,15.8,1.4,0.2,10.8,23.2,,2.0,0.7,2.7,.060,,-0.2,-3.4,-3.5,-0.8
2,Shareef Abdur-Rahim,PF,20,VAN,80,2802,17.4,.518,.022,.428,8.8,14.2,11.5,12.1,1.5,2.2,13.5,27.6,,1.7,1.2,2.9,.049,,-0.8,-1.2,-2.0,0.0
3,Rafael Addison,SF,32,CHH,41,355,10.6,.476,.164,.230,6.7,8.6,7.7,15.5,1.2,0.6,11.2,20.1,,0.2,0.1,0.4,.048,,-1.8,-2.5,-4.3,-0.2
4,Cory Alexander,PG,23,SAS,80,1454,14.3,.528,.514,.263,2.3,8.0,5.1,30.0,3.1,0.9,21.1,22.2,,0.5,0.6,1.1,.035,,0.8,-2.1,-1.3,0.2
5,Jerome Allen,SG,24,TOT,76,943,8.7,.451,.421,.326,3.1,9.0,6.1,25.3,1.8,0.3,21.4,15.6,,-0.3,0.8,0.4,.021,,-2.3,-1.1,-3.5,-0.3
6,Ray Allen,SG,21,MIL,82,2532,14.6,.541,.328,.274,4.7,11.0,7.9,13.9,1.6,0.3,12.8,21.4,,3.3,1.5,4.9,.092,,1.6,-1.2,0.3,1.5
7,Derrick Alston,C,24,ATL,2,11,-9.0,.000,.000,.400,33.3,10.6,21.7,0.0,0.0,0.0,0.0,25.2,,-0.1,0.0,-0.1,-0.415,,-17.5,-10.3,-27.8,-0.1
8,Ashraf Amaya,PF,25,WSB,31,144,8.8,.382,.025,.700,15.7,26.4,21.1,2.9,2.5,1.6,16.0,19.4,,-0.2,0.3,0.1,.019,,-7.0,-1.0,-8.1,-0.2
9,Greg Anderson,C,32,SAS,82,1659,11.4,.531,.004,.355,11.0,21.8,16.2,3.2,2.1,3.2,19.4,10.5,,0.7,1.5,2.2,.064,,-3.1,1.4,-1.6,0.2
10,Kenny Anderson,PG,26,POR,82,3081,19.5,.540,.322,.383,3.6,10.2,7.0,31.7,2.8,0.4,12.7,22.2,,8.0,4.4,12.4,.193,,4.3,0.8,5.0,5.5
11,Nick Anderson,SG,29,ORL,63,2163,13.8,.494,.559,.130,3.5,13.2,8.2,14.5,3.0,1.1,10.1,18.2,,1.3,2.9,4.2,.093,,1.2,1.4,2.6,2.5
12,Shandon Anderson,SG,23,UTA,65,1066,10.4,.534,.148,.311,6.5,14.0,10.5,7.1,1.4,0.6,16.8,18.9,,0.1,1.2,1.2,.056,,-2.2,-0.7,-2.9,-0.2
13,Willie Anderson,SG,30,MIA,28,303,12.6,.570,.297,.313,6.0,10.4,8.2,18.2,2.5,1.0,20.7,14.2,,0.4,0.5,0.9,.142,,-1.0,1.7,0.8,0.2
14,Greg Anthony,PG,29,VAN,65,1863,16.6,.526,.469,.351,1.5,10.0,5.7,36.1,3.8,0.2,18.1,17.8,,2.3,1.2,3.5,.090,,1.3,-1.5,-0.3,0.8
15,B.J. Armstrong,PG,29,GSW,49,1020,12.9,.538,.275,.242,0.8,7.8,4.3,20.3,1.3,0.2,12.8,18.1,,1.4,-0.1,1.3,.061,,-0.5,-3.4,-3.9,-0.5
16,Darrell Armstrong,PG,28,ORL,67,1010,14.7,.525,.525,.307,4.0,4.9,4.4,29.7,3.3,0.7,20.2,22.4,,0.7,1.1,1.8,.085,,0.9,-1.7,-0.7,0.3
17,Vincent Askew,SG,30,TOT,43,838,9.7,.532,.129,.473,3.6,10.2,7.0,17.3,1.1,0.6,17.0,14.9,,0.7,0.8,1.5,.086,,-1.4,0.0,-1.4,0.1
18,Keith Askins,SF,29,MIA,78,1773,9.1,.557,.539,.182,5.9,12.2,9.1,6.7,1.6,0.8,14.6,10.7,,1.5,2.8,4.3,.116,,-0.8,1.9,1.1,1.4
