Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0,OWS,DWS,WS,WS/48,0,OBPM,DBPM,BPM,VORP
1,Quincy Acy,PF,24,NYK,68,1287,11.9,.533,.181,.293,6.9,20.5,13.5,8.7,1.1,1.4,13.8,15.5,0,1.0,0.7,1.7,.063,0,-2.3,-0.8,-3.1,-0.3
2,Jordan Adams,SG,20,MEM,30,248,12.8,.489,.291,.267,4.2,8.7,6.4,10.1,3.4,2.3,12.7,20.4,0,0.0,0.4,0.4,.073,0,-1.8,1.2,-0.6,0.1
3,Steven Adams,C,21,OKC,70,1771,14.1,.549,.005,.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,0,1.9,2.2,4.1,.111,0,-1.4,1.8,0.4,1.1
4,Jeff Adrien,PF,28,MIN,17,215,14.2,.494,.000,.864,11.9,29.6,20.5,10.5,0.9,3.3,12.9,14.3,0,0.2,0.2,0.4,.087,0,-2.7,0.5,-2.2,0.0
5,Arron Afflalo,SG,29,TOT,78,2502,10.7,.533,.377,.224,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19.0,0,1.6,1.0,2.6,.050,0,-0.5,-1.3,-1.8,0.1
6,Alexis Ajinca,C,26,NOP,68,957,19.9,.595,.000,.301,12.4,25.0,18.7,8.2,1.2,4.0,15.6,21.1,0,1.9,1.2,3.2,.159,0,-0.5,0.6,0.2,0.5
7,Furkan Aldemir,PF,23,PHI,41,540,12.0,.517,.064,.346,14.9,20.7,17.7,8.3,1.6,2.4,15.9,8.6,0,0.7,0.7,1.4,.122,0,-2.7,2.0,-0.7,0.2
8,Cole Aldrich,C,26,NYK,61,976,18.1,.513,.000,.213,11.6,28.9,20.0,13.3,2.0,5.5,15.2,18.3,0,0.8,1.4,2.2,.107,0,-2.2,3.1,0.9,0.7
9,LaMarcus Aldridge,PF,29,POR,71,2512,22.8,.528,.074,.256,7.7,22.9,15.5,9.2,1.0,1.9,7.2,30.2,0,4.9,3.7,8.6,.165,0,0.3,0.0,0.3,1.4
10,Lavoy Allen,PF,25,IND,63,1070,14.9,.493,.000,.157,12.8,20.5,16.7,10.9,0.7,3.1,11.1,15.2,0,1.3,1.6,2.8,.127,0,-1.4,2.2,0.8,0.8
11,Tony Allen,SG,33,MEM,63,1648,14.6,.528,.064,.277,7.2,12.2,9.7,8.1,4.1,1.5,14.4,16.6,0,0.9,3.2,4.1,.119,0,-0.4,3.7,3.3,2.2
12,Al-Farouq Aminu,SF,24,DAL,74,1366,14.4,.504,.347,.331,9.1,18.4,13.7,6.1,2.6,3.7,11.9,15.2,0,1.2,2.0,3.3,.115,0,-0.5,2.9,2.4,1.5
13,Louis Amundson,PF,32,TOT,53,937,11.8,.442,.004,.341,11.3,22.0,16.5,12.2,1.2,4.6,17.5,17.4,0,-0.6,0.9,0.3,.017,0,-4.0,2.0,-2.0,0.0
14,Chris Andersen,C,36,MIA,60,1132,16.1,.622,.063,.551,8.2,23.2,15.9,6.1,1.2,4.6,13.5,12.3,0,2.1,1.5,3.6,.151,0,-1.2,2.3,1.0,0.9
15,Alan Anderson,SG,32,BRK,74,1744,10.6,.563,.477,.230,2.0,11.1,6.6,7.2,1.7,0.2,11.0,14.2,0,1.7,1.1,2.7,.075,0,0.0,-0.5,-0.5,0.6
16,Kyle Anderson,SF,21,SAS,33,358,8.2,.389,.124,.157,1.6,20.8,11.4,10.9,2.1,1.5,9.5,13.4,0,-0.3,0.6,0.3,.044,0,-5.2,2.4,-2.7,-0.1
17,Ryan Anderson,PF,26,NOP,61,1675,15.6,.524,.492,.207,7.3,12.7,10.0,5.4,1.0,0.9,7.2,23.4,0,2.6,0.9,3.5,.100,0,2.0,-3.1,-1.1,0.4
