Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
16,Norman Black,SG,23,DET,3,0,28,3,10,.300,0,0,0,3,10,.300,.300,2,8,.250,0,2,2,2,1,0,1,2,8
17,Ron Boone,SG,34,UTA,52,0,1146,160,371,.431,11,39,.282,149,332,.449,.446,75,94,.798,17,67,84,161,33,8,111,126,406
18,Winford Boynes,SG,23,DAL,44,0,757,121,313,.387,0,0,0,121,313,.387,.387,45,55,.818,24,51,75,37,23,16,69,79,287
19,Dudley Bradley,SG,23,IND,82,0,1867,265,559,.474,2,16,.125,263,543,.484,.476,125,178,.702,70,123,193,188,186,37,122,236,657
20,Mike Bratz,PG,25,CLE,80,0,2595,319,817,.390,57,169,.337,262,648,.404,.425,107,132,.811,66,132,198,452,136,17,162,194,802
21,Jim Brewer,PF,29,LAL,78,0,1107,101,197,.513,0,2,.000,101,195,.518,.513,15,40,.375,127,154,281,55,43,58,48,158,217
22,Ron Brewer,SG,25,TOT,75,0,1452,275,631,.436,1,7,.143,274,624,.439,.437,91,114,.798,34,52,86,148,61,34,92,95,642
23,Junior Bridgeman,SF,27,MIL,77,0,2215,537,1102,.487,3,21,.143,534,1081,.494,.489,213,241,.884,78,211,289,234,88,28,150,182,1290
24,Allan Bristow,SF,29,UTA,82,0,2001,271,611,.444,5,18,.278,266,593,.449,.448,166,198,.838,103,327,430,383,63,3,171,190,713
25,Dave Britton,PG,22,WSB,2,0,9,2,3,.667,0,0,0,2,3,.667,.667,0,0,0,0,2,2,3,1,0,2,2,4
26,Michael Brooks,SF,22,SDC,82,0,2479,488,1018,.479,0,6,.000,488,1012,.482,.479,226,320,.706,210,232,442,208,99,31,163,234,1202
27,Fred Brown,SG,32,SEA,78,0,1986,505,1035,.488,23,64,.359,482,971,.496,.499,173,208,.832,53,122,175,233,88,13,131,141,1206
28,Lewis Brown,C,25,WSB,2,0,5,0,3,.000,0,0,0,0,3,.000,.000,2,5,.400,1,1,2,0,0,0,1,2,2
29,Rickey Brown,C,22,GSW,45,0,580,83,162,.512,0,0,0,83,162,.512,.512,16,21,.762,52,114,166,21,9,14,31,103,182
30,Joe Bryant,PF,26,SDC,82,0,2359,379,791,.479,2,15,.133,377,776,.486,.480,193,244,.791,146,294,440,189,72,34,176,264,953
31,Quinn Buckner,PG,26,MIL,82,0,2384,471,956,.493,1,6,.167,470,950,.495,.493,149,203,.734,88,210,298,384,197,3,236,271,1092
32,Tom Burleson,C,28,ATL,31,0,363,41,99,.414,0,0,0,41,99,.414,.414,20,41,.488,44,50,94,12,8,19,24,73,102
33,Don Buse,SG,30,IND,58,0,1095,114,287,.397,19,58,.328,95,229,.415,.430,50,65,.769,19,65,84,140,74,8,38,61,297
34,Marty Byrnes,SF,24,DAL,72,0,1360,216,451,.479,9,20,.450,207,431,.480,.489,120,157,.764,74,103,177,113,29,17,61,126,561
35,Mack Calvin,PG,33,CLE,21,0,128,13,39,.333,1,5,.200,12,34,.353,.346,25,35,.714,2,10,12,28,5,0,17,13,52
36,Austin Carr,SG,32,TOT,47,0,657,87,234,.372,0,7,.000,87,227,.383,.372,34,54,.630,22,39,61,58,15,2,41,53,208
37,Kenny Carr,PF,25,CLE,81,0,2615,469,918,.511,0,4,.000,469,914,.513,.511,292,409,.714,260,575,835,192,76,42,231,296,1230
38,M.L. Carr,SF,30,BOS,41,7,655,97,216,.449,1,14,.071,96,202,.475,.451,53,67,.791,26,57,83,56,30,18,47,74,248
39,Joe Barry Carroll,C,22,GSW,82,0,2919,616,1254,.491,0,2,.000,616,1252,.492,.491,315,440,.716,274,485,759,117,50,121,243,313,1547
40,Butch Carter,SF,22,LAL,54,0,672,114,247,.462,3,10,.300,111,237,.468,.468,70,95,.737,34,31,65,52,23,1,50,99,301
41,Reggie Carter,SG,23,NYK,60,0,536,59,179,.330,0,3,.000,59,176,.335,.330,51,69,.739,30,39,69,76,22,2,38,68,169
42,Bill Cartwright,C,23,NYK,82,0,2925,619,1118,.554,0,1,.000,619,1117,.554,.554,408,518,.788,161,452,613,111,48,83,200,259,1646
43,Harvey Catchings,PF,29,MIL,77,0,1635,134,300,.447,0,0,0,134,300,.447,.447,59,92,.641,154,319,473,99,33,184,105,284,327
44,Maurice Cheeks,PG,24,PHI,81,0,2415,310,581,.534,3,8,.375,307,573,.536,.536,140,178,.787,67,178,245,560,193,39,174,231,763
45,Phil Chenier,SG,30,GSW,9,0,82,11,33,.333,1,3,.333,10,30,.333,.348,6,6,1.000,1,7,8,7,0,0,4,10,29
46,Jim Chones,PF,31,LAL,82,0,2562,378,751,.503,0,4,.000,378,747,.506,.503,126,193,.653,180,477,657,153,39,96,159,324,882
47,Art Collins,SG,26,ATL,29,0,395,35,99,.354,0,2,.000,35,97,.361,.354,24,36,.667,19,22,41,25,11,1,32,35,94
48,Don Collins,SF,22,TOT,81,0,1845,360,811,.444,0,6,.000,360,805,.447,.444,211,272,.776,129,139,268,190,104,25,174,259,931
49,Doug Collins,SG,29,PHI,12,0,329,62,126,.492,0,0,0,62,126,.492,.492,24,29,.828,6,23,29,42,7,4,22,23,148
50,Darwin Cook,SG,22,NJN,81,0,1980,383,819,.468,6,25,.240,377,794,.475,.471,132,180,.733,96,140,236,297,141,36,176,197,904
51,Jeff Cook,SF,24,PHO,79,0,2192,286,616,.464,0,5,.000,286,611,.468,.464,100,155,.645,170,297,467,201,82,54,146,236,672
52,Michael Cooper,SG,24,LAL,81,0,2625,321,654,.491,4,19,.211,317,635,.499,.494,117,149,.785,121,215,336,332,133,78,164,249,763
53,Wayne Cooper,C,24,UTA,71,0,1420,213,471,.452,1,3,.333,212,468,.453,.453,62,90,.689,166,274,440,52,18,51,77,219,489
54,Dave Corzine,C,24,SAS,82,0,1960,366,747,.490,0,3,.000,366,744,.492,.490,125,175,.714,228,408,636,117,42,99,131,212,857
55,Charlie Criss,PG,32,ATL,66,0,1708,220,485,.454,1,21,.048,219,464,.472,.455,185,214,.864,26,74,100,283,61,3,134,87,626
56,Geoff Crompton,C,25,POR,6,0,33,4,8,.500,0,0,0,4,8,.500,.500,1,5,.200,7,11,18,2,0,2,5,4,9
57,Pat Cummings,C,24,MIL,74,0,1084,248,460,.539,0,2,.000,248,458,.541,.539,99,140,.707,97,195,292,62,31,19,114,192,595
58,Earl Cureton,C,23,PHI,52,0,528,93,205,.454,0,1,.000,93,204,.456,.454,33,64,.516,51,104,155,25,20,23,29,68,219
59,Bob Dandridge,SF,33,WSB,23,0,545,101,237,.426,0,1,.000,101,236,.428,.426,28,39,.718,19,64,83,60,16,9,33,54,230
60,Adrian Dantley*,SF,24,UTA,80,0,3417,909,1627,.559,2,7,.286,907,1620,.560,.559,632,784,.806,192,317,509,322,109,18,282,245,2452
61,Brad Davis,PG,25,DAL,56,0,1686,230,410,.561,3,17,.176,227,393,.578,.565,163,204,.799,29,122,151,385,52,11,123,156,626
62,Johnny Davis,PG,25,IND,76,0,2536,426,917,.465,4,33,.121,422,884,.477,.467,238,299,.796,56,114,170,480,95,14,167,179,1094
63,Monti Davis,PF,22,TOT,2,0,10,1,5,.200,0,0,0,1,5,.200,.200,1,5,.200,2,2,4,0,0,1,0,0,3
64,Ron Davis,SF,26,SDC,64,0,817,139,314,.443,2,8,.250,137,306,.448,.446,94,158,.595,47,72,119,47,36,11,61,98,374
65,Walter Davis,SG,26,PHO,78,0,2182,593,1101,.539,7,17,.412,586,1084,.541,.542,209,250,.836,63,137,200,302,97,12,222,192,1402
66,Darryl Dawkins,C,24,PHI,76,0,2088,423,697,.607,0,0,0,423,697,.607,.607,219,304,.720,106,439,545,109,38,112,220,316,1065
67,Larry Demic,PF,23,NYK,76,0,964,128,254,.504,0,2,.000,128,252,.508,.504,58,92,.630,114,129,243,28,12,13,58,153,314
68,Coby Dietrick,C,32,CHI,82,0,1243,146,320,.456,2,6,.333,144,314,.459,.459,77,111,.694,79,186,265,118,48,53,88,176,371
69,James Donaldson,C,23,SEA,68,0,980,129,238,.542,0,0,0,129,238,.542,.542,101,170,.594,107,202,309,42,8,74,68,79,359
70,Jacky Dorsey,SF,26,SEA,29,0,253,20,70,.286,0,0,0,20,70,.286,.286,13,25,.520,23,65,88,9,9,1,14,47,53
71,Leon Douglas,C,26,KCK,79,0,1356,185,323,.573,0,3,.000,185,320,.578,.573,102,186,.548,150,234,384,69,25,38,90,251,472
72,John Drew,SF,26,ATL,67,0,2075,500,1096,.456,0,7,.000,500,1089,.459,.456,454,577,.787,145,238,383,79,98,15,194,264,1454
73,Larry Drew,PG,22,DET,76,0,1581,197,484,.407,4,17,.235,193,467,.413,.411,106,133,.797,24,96,120,249,88,7,166,125,504
74,Ralph Drollinger,C,26,DAL,6,0,67,7,14,.500,0,0,0,7,14,.500,.500,1,4,.250,5,14,19,14,1,2,13,16,15
75,Terry Duerod,SG-SF,24,TOT,50,0,451,104,234,.444,8,16,.500,96,218,.440,.462,31,41,.756,17,27,44,36,17,4,35,27,247
76,Mike Dunleavy,SG,26,HOU,74,0,1609,310,632,.491,1,16,.063,309,616,.502,.491,156,186,.839,28,90,118,268,64,2,137,165,777
77,T.R. Dunn,SG,25,DEN,82,0,1427,146,354,.412,0,2,.000,146,352,.415,.412,79,121,.653,133,168,301,81,66,29,56,141,371
78,John Duren,PG,22,UTA,40,0,458,33,101,.327,0,1,.000,33,100,.330,.327,5,9,.556,8,27,35,54,18,2,37,54,71
79,James Edwards,C,25,IND,81,0,2375,511,1004,.509,0,3,.000,511,1001,.510,.509,244,347,.703,191,380,571,212,32,128,164,304,1266
80,Bob Elliott,C,25,NJN,73,0,1320,214,419,.511,1,2,.500,213,417,.511,.512,121,202,.599,104,157,261,129,34,16,119,175,550
81,Len Elmore,C,28,MIL,72,0,925,76,212,.358,0,0,0,76,212,.358,.358,54,75,.720,68,140,208,69,37,52,44,178,206
82,Alex English*,SF,27,DEN,81,0,3093,768,1555,.494,3,5,.600,765,1550,.494,.495,390,459,.850,273,373,646,290,106,100,241,255,1929
83,Julius Erving*,SF,30,PHI,82,0,2874,794,1524,.521,4,18,.222,790,1506,.525,.522,422,536,.787,244,413,657,364,173,147,266,233,2014
84,Mike Evans,PG,25,MIL,71,0,911,134,291,.460,2,14,.143,132,277,.477,.464,50,64,.781,22,65,87,167,34,4,72,114,320
85,Eric Fernsten,C,27,BOS,45,0,279,38,79,.481,0,0,0,38,79,.481,.481,20,30,.667,29,33,62,10,6,7,20,29,96
86,Chris Ford,SG,32,BOS,82,75,2723,314,707,.444,36,109,.330,278,598,.465,.470,64,87,.736,72,91,163,295,100,23,127,212,728
87,Don Ford,SF,28,CLE,64,0,996,100,224,.446,0,3,.000,100,221,.452,.446,22,24,.917,74,90,164,84,15,12,49,100,222
88,Phil Ford,PG,24,KCK,66,0,2287,424,887,.478,11,36,.306,413,851,.485,.484,294,354,.831,26,102,128,580,99,6,241,190,1153
89,World B. Free,SG,27,GSW,65,0,2370,516,1157,.446,5,31,.161,511,1126,.454,.448,528,649,.814,48,111,159,361,85,11,195,183,1565
90,Tony Fuller,SG,22,DET,15,0,248,24,66,.364,0,1,.000,24,65,.369,.364,12,16,.750,13,29,42,28,10,1,23,25,60
91,Mike Gale,PG,30,TOT,77,0,1112,157,309,.508,2,7,.286,155,302,.513,.511,55,68,.809,16,83,99,169,94,7,77,117,371
92,Calvin Garrett,SF,24,HOU,70,0,1638,188,415,.453,1,3,.333,187,412,.454,.454,50,62,.806,85,179,264,132,50,10,90,167,427
93,Gus Gerard,SF,27,TOT,27,0,252,41,111,.369,0,4,.000,41,107,.383,.369,27,40,.675,30,37,67,15,10,9,15,41,109
94,George Gervin*,SG,28,SAS,82,0,2765,850,1729,.492,9,35,.257,841,1694,.496,.494,512,620,.826,126,293,419,260,94,56,251,212,2221
95,Artis Gilmore*,C,31,CHI,82,0,2832,547,816,.670,0,0,0,547,816,.670,.670,375,532,.705,220,608,828,172,47,198,236,295,1469
96,Mike Glenn,PG,25,NYK,82,0,1506,285,511,.558,4,11,.364,281,500,.562,.562,98,110,.891,27,61,88,108,72,5,62,126,672
97,Mike Gminski,C,21,NJN,56,0,1579,291,688,.423,0,1,.000,291,687,.424,.423,155,202,.767,137,282,419,72,54,100,128,127,737
98,Glen Gondrezick,PF,25,DEN,73,0,1077,155,329,.471,0,2,.000,155,327,.474,.471,112,137,.818,136,171,307,83,91,20,69,185,422
99,Rickey Green,PG,26,UTA,47,0,1307,176,366,.481,0,1,.000,176,365,.482,.481,70,97,.722,30,86,116,235,75,1,83,123,422
100,Dave Greenwood,PF,23,CHI,82,0,2710,481,989,.486,0,2,.000,481,987,.487,.486,217,290,.748,243,481,724,218,77,124,192,282,1179
101,Kevin Grevey,SG,27,WSB,75,0,2616,500,1103,.453,45,136,.331,455,967,.471,.474,244,290,.841,67,152,219,300,68,17,144,161,1289
102,Paul Griffin,PF,27,SAS,82,0,1930,166,325,.511,0,0,0,166,325,.511,.511,170,253,.672,184,321,505,249,77,38,132,207,502
103,Darrell Griffith,SG,22,UTA,81,0,2867,716,1544,.464,10,52,.192,706,1492,.473,.467,229,320,.716,79,209,288,194,106,40,231,219,1671
104,Bob Gross,SF,27,POR,82,0,1934,253,479,.528,0,9,.000,253,470,.538,.528,135,159,.849,126,202,328,251,90,67,151,238,641
105,Ernie Grunfeld,SF,25,KCK,79,0,1584,260,486,.535,0,0,0,260,486,.535,.535,75,101,.743,31,175,206,205,60,15,88,155,595
106,Roy Hamilton,PG,23,POR,1,0,5,1,3,.333,0,0,0,1,3,.333,.333,1,2,.500,2,1,3,0,0,0,1,1,3
107,Bill Hanzlik,SF,23,SEA,74,0,1259,138,289,.478,1,5,.200,137,284,.482,.479,119,150,.793,67,86,153,111,58,20,84,168,396
108,Alan Hardy,SG,23,LAL,22,0,111,22,59,.373,0,0,0,22,59,.373,.373,7,10,.700,8,11,19,3,1,9,11,13,51
109,James Hardy,PF,24,UTA,23,0,509,52,111,.468,0,0,0,52,111,.468,.468,11,20,.550,39,94,133,36,21,20,23,58,115
110,Mike Harper,PF,23,POR,55,0,461,56,136,.412,0,3,.000,56,133,.421,.412,37,85,.435,28,65,93,17,23,20,32,73,149
111,Joe Hassett,SG,25,TOT,41,0,714,143,340,.421,53,156,.340,90,184,.489,.499,17,21,.810,24,44,68,74,13,2,22,65,356
112,Steve Hawes,C,30,ATL,74,0,2309,333,637,.523,1,4,.250,332,633,.524,.524,222,278,.799,165,396,561,168,73,32,161,289,889
113,Elvin Hayes*,PF,35,WSB,81,0,2931,584,1296,.451,0,10,.000,584,1286,.454,.451,271,439,.617,235,554,789,98,68,171,189,300,1439
114,Gar Heard,PF,32,SDC,78,0,1631,149,396,.376,0,7,.000,149,389,.383,.376,79,101,.782,120,228,348,122,104,72,81,196,377
115,Gerald Henderson,PG,25,BOS,82,10,1608,261,579,.451,1,16,.063,260,563,.462,.452,113,157,.720,43,89,132,213,79,12,160,177,636
116,Tom Henderson,SG,29,HOU,66,0,1411,137,332,.413,0,3,.000,137,329,.416,.413,78,95,.821,30,74,104,307,53,4,93,111,352
117,Keith Herron,SG,24,DET,80,0,2270,432,954,.453,2,11,.182,430,943,.456,.454,228,267,.854,98,113,211,148,91,26,153,154,1094
118,Kenny Higgs,PG,26,DEN,72,0,1689,209,474,.441,4,34,.118,205,440,.466,.445,140,172,.814,24,121,145,408,101,6,166,243,562
119,Johnny High,PG,23,PHO,81,0,1750,246,576,.427,2,24,.083,244,552,.442,.429,183,264,.693,89,139,228,202,129,26,188,251,677
120,Armond Hill,PG,27,TOT,75,0,1738,117,335,.349,0,7,.000,117,328,.357,.349,141,172,.820,41,118,159,292,66,11,127,207,375
121,Brad Holland,SG,24,LAL,41,0,295,47,111,.423,1,3,.333,46,108,.426,.428,35,49,.714,9,20,29,23,21,1,31,44,130
122,Lionel Hollins,PG,27,PHI,82,0,2154,327,696,.470,2,15,.133,325,681,.477,.471,125,171,.731,47,144,191,352,104,18,207,205,781
123,Cedrick Hordges,PF,24,DEN,68,0,1599,221,480,.460,0,3,.000,221,477,.463,.460,130,186,.699,120,338,458,104,33,19,120,226,572
124,Phil Hubbard,PF,24,DET,80,0,2289,433,880,.492,1,3,.333,432,877,.493,.493,294,426,.690,236,350,586,150,80,20,229,317,1161
125,Kim Hughes,C,28,TOT,53,0,490,27,70,.386,0,0,0,27,70,.386,.386,1,2,.500,48,79,127,35,28,35,44,106,55
126,Geoff Huston,PG,23,TOT,81,0,2434,461,942,.489,1,5,.200,460,937,.491,.490,150,212,.708,45,93,138,394,58,7,179,148,1073
127,Dan Issel*,C,32,DEN,80,0,2641,614,1220,.503,2,12,.167,612,1208,.507,.504,519,684,.759,229,447,676,158,83,53,130,249,1749
128,Tony Jackson,PG,23,LAL,2,0,14,1,3,.333,0,0,0,1,3,.333,.333,0,0,0,0,2,2,2,2,0,0,1,2
129,Abdul Jeelani,SF,26,DAL,66,0,1108,187,440,.425,0,1,.000,187,439,.426,.425,179,220,.814,83,147,230,65,44,31,87,123,553
130,Clemon Johnson,C,24,IND,81,0,1643,235,466,.504,0,1,.000,235,465,.505,.504,112,189,.593,173,295,468,144,44,119,121,185,582
131,Dennis Johnson*,PG,26,PHO,79,0,2615,532,1220,.436,11,51,.216,521,1169,.446,.441,411,501,.820,160,203,363,291,136,61,208,244,1486
132,Eddie Johnson,SG,25,ATL,75,0,2693,573,1136,.504,6,20,.300,567,1116,.508,.507,279,356,.784,60,119,179,407,126,11,197,188,1431
133,George Johnson,C,32,SAS,82,0,1935,164,347,.473,0,0,0,164,347,.473,.473,80,109,.734,215,387,602,92,47,278,110,273,408
134,George Johnson,PF,24,IND,43,0,930,182,394,.462,0,5,.000,182,389,.468,.462,93,122,.762,99,179,278,86,47,23,85,120,457
135,John Johnson,SF,33,SEA,80,0,2324,373,866,.431,0,1,.000,373,865,.431,.431,173,214,.808,135,227,362,312,57,25,230,202,919
136,Lee Johnson,PF,23,TOT,12,0,90,7,25,.280,0,0,0,7,25,.280,.280,3,5,.600,6,16,22,1,0,5,7,18,17
137,Magic Johnson*,SG,21,LAL,37,0,1371,312,587,.532,3,17,.176,309,570,.542,.534,171,225,.760,101,219,320,317,127,27,143,100,798
138,Marques Johnson,SF,24,MIL,76,0,2542,636,1153,.552,0,9,.000,636,1144,.556,.552,269,381,.706,225,293,518,346,115,41,190,196,1541
139,Mickey Johnson,PF,28,MIL,82,0,2118,379,846,.448,3,18,.167,376,828,.454,.450,262,332,.789,183,362,545,286,94,71,230,256,1023
140,Ollie Johnson,SF,31,PHI,40,0,372,87,158,.551,1,6,.167,86,152,.566,.554,27,31,.871,8,47,55,30,20,2,25,45,202
141,Reggie Johnson,PF,23,SAS,79,0,1716,340,682,.499,0,1,.000,340,681,.499,.499,128,193,.663,132,226,358,78,45,48,130,283,808
142,Vinnie Johnson,PG,24,SEA,81,0,2311,419,785,.534,1,5,.200,418,780,.536,.534,214,270,.793,193,173,366,341,78,20,216,198,1053
143,Bobby Jones,PF,29,PHI,81,0,2046,407,755,.539,0,3,.000,407,752,.541,.539,282,347,.813,142,293,435,226,95,74,149,226,1096
144,Caldwell Jones,C,30,PHI,81,0,2639,218,485,.449,0,0,0,218,485,.449,.449,148,193,.767,200,613,813,122,53,134,168,271,584
145,Dwight Jones,PF,28,CHI,81,0,1574,245,507,.483,0,0,0,245,507,.483,.483,125,161,.776,127,274,401,99,40,36,126,200,615
146,Edgar Jones,PF,24,NJN,60,0,950,189,357,.529,0,4,.000,189,353,.535,.529,146,218,.670,92,171,263,43,36,81,101,185,524
147,Major Jones,PF,27,HOU,68,0,1003,117,252,.464,0,1,.000,117,251,.466,.464,64,101,.634,96,138,234,41,18,23,57,112,298
148,Eddie Jordan,PG,26,TOT,74,0,1226,150,352,.426,6,22,.273,144,330,.436,.435,87,127,.685,30,68,98,241,98,8,143,165,393
149,Walter Jordan,SF,24,CLE,30,0,207,29,75,.387,0,0,0,29,75,.387,.387,10,17,.588,23,19,42,11,11,5,17,35,68
150,Jeff Judkins,SF,24,UTA,62,0,666,92,216,.426,9,28,.321,83,188,.441,.447,45,51,.882,29,64,93,59,16,2,30,84,238
151,Clarence Kea,PF,21,DAL,16,0,199,37,81,.457,0,1,.000,37,80,.463,.457,43,62,.694,28,39,67,5,6,1,16,44,117
152,Rich Kelley,C,27,PHO,81,0,1686,196,387,.506,0,2,.000,196,385,.509,.506,175,231,.758,131,310,441,282,79,63,209,210,567
153,Greg Kelser,SF,23,DET,25,0,654,120,285,.421,0,2,.000,120,283,.424,.421,68,106,.642,53,67,120,45,34,29,78,89,308
154,Larry Kenon,SF,28,CHI,77,0,2161,454,946,.480,0,0,0,454,946,.480,.480,180,245,.735,179,219,398,120,75,18,161,160,1088
155,Chad Kinch,SG,22,TOT,41,0,353,52,141,.369,0,0,0,52,141,.369,.369,14,18,.778,7,26,33,45,11,6,30,33,118
156,Bernard King*,SF,24,GSW,81,0,2914,731,1244,.588,2,6,.333,729,1238,.589,.588,307,437,.703,178,373,551,287,72,34,265,304,1771
157,Reggie King,PF,23,KCK,81,0,2743,472,867,.544,0,0,0,472,867,.544,.544,264,386,.684,235,551,786,122,102,41,164,227,1208
158,Billy Knight,SG,28,IND,82,0,2385,546,1025,.533,3,19,.158,543,1006,.540,.534,341,410,.832,191,219,410,157,84,12,177,155,1436
159,Joel Kramer,PF,25,PHO,82,0,1065,136,258,.527,0,1,.000,136,257,.529,.527,63,91,.692,77,155,232,88,35,17,67,132,335
160,Wayne Kreklow,SG,24,BOS,25,0,100,11,47,.234,1,4,.250,10,43,.233,.245,7,10,.700,2,10,12,9,2,1,10,20,30
161,Kevin Kunnert,C,29,POR,55,0,842,101,216,.468,0,0,0,101,216,.468,.468,42,54,.778,98,189,287,67,17,32,50,143,244
162,Mitch Kupchak,PF,26,WSB,82,0,1934,392,747,.525,0,1,.000,392,746,.525,.525,240,340,.706,198,371,569,62,36,26,161,195,1024
163,Sam Lacey,C,32,KCK,82,0,2228,237,536,.442,1,5,.200,236,531,.444,.443,92,117,.786,131,453,584,399,95,120,182,302,567
164,Tom LaGarde,C,25,DAL,82,0,2670,417,888,.470,0,0,0,417,888,.470,.470,288,444,.649,177,488,665,237,35,45,206,293,1122
165,Bill Laimbeer,C,23,CLE,81,0,2460,337,670,.503,0,0,0,337,670,.503,.503,117,153,.765,266,427,693,216,56,78,132,332,791
166,John Lambert,PF,28,TOT,46,0,483,68,165,.412,0,2,.000,68,163,.417,.412,18,23,.783,28,65,93,27,12,5,19,76,154
167,Mark Landsberger,PF,25,LAL,69,0,1086,164,327,.502,0,1,.000,164,326,.503,.502,62,116,.534,152,225,377,27,19,6,65,135,390
168,Bob Lanier*,C,32,MIL,67,0,1753,376,716,.525,1,1,1.000,375,715,.524,.526,208,277,.751,128,285,413,179,73,81,139,184,961
169,Edmund Lawrence,C,28,DET,3,0,19,5,8,.625,0,0,0,5,8,.625,.625,2,4,.500,2,2,4,1,1,0,1,6,12
170,Allen Leavell,PG,23,HOU,79,0,1686,258,548,.471,2,17,.118,256,531,.482,.473,124,149,.832,30,104,134,384,97,15,189,160,642
171,Ron Lee,PG,28,DET,82,0,1829,113,323,.350,2,13,.154,111,310,.358,.353,113,156,.724,65,155,220,362,166,29,173,260,341
172,Ronnie Lester,PG,22,CHI,8,0,83,10,24,.417,0,0,0,10,24,.417,.417,10,11,.909,3,3,6,7,2,0,9,5,30
173,Scott Lloyd,C,28,DAL,72,0,2186,245,547,.448,0,2,.000,245,545,.450,.448,147,205,.717,161,293,454,159,34,25,145,269,637
174,John Long,SG,24,DET,59,0,1750,441,957,.461,2,11,.182,439,946,.464,.462,160,184,.870,95,102,197,106,95,22,151,164,1044
175,John Lucas,PG,27,GSW,66,0,1919,222,506,.439,4,24,.167,218,482,.452,.443,107,145,.738,34,120,154,464,83,2,185,140,555
176,Maurice Lucas,PF,28,NJN,68,0,2162,404,835,.484,0,2,.000,404,833,.485,.484,191,254,.752,153,422,575,173,57,59,176,260,999
177,Ollie Mack,SG,23,TOT,65,0,1682,279,606,.460,0,9,.000,279,597,.467,.460,80,125,.640,92,138,230,163,56,7,70,117,638
178,Kyle Macy,PG,23,PHO,82,0,1469,272,532,.511,12,51,.235,260,481,.541,.523,107,119,.899,44,88,132,160,76,5,95,120,663
179,Rick Mahorn,PF,22,WSB,52,0,696,111,219,.507,0,0,0,111,219,.507,.507,27,40,.675,67,148,215,25,21,44,38,134,249
180,Moses Malone*,C,25,HOU,80,0,3245,806,1545,.522,1,3,.333,805,1542,.522,.522,609,804,.757,474,706,1180,141,83,150,308,223,2222
181,Wes Matthews,PG,21,TOT,79,0,2266,385,779,.494,5,21,.238,380,758,.501,.497,202,252,.802,46,93,139,411,107,17,261,242,977
182,Cedric Maxwell,SF,25,BOS,81,81,2730,441,750,.588,0,1,.000,441,749,.589,.588,352,450,.782,222,303,525,219,79,68,180,256,1234
183,Scott May,SF,26,CHI,63,0,815,165,338,.488,0,0,0,165,338,.488,.488,113,149,.758,62,93,155,63,35,7,71,83,443
184,Bill Mayfield,SF,23,GSW,7,0,54,8,18,.444,0,0,0,8,18,.444,.444,1,2,.500,7,2,9,1,0,1,3,8,17
